chromosome	win_start	win_end	n_bases	gc_bases	exon_bases	simple_rep_bases	complex_rep_bases
chr13	91491456	97209672	0	2176547	412437	86945	2584038
chr13	97209672	102927888	3	2343632	949396	77466	2575416
chr13	102927888	108646104	0	2141332	233923	95974	2276292
chr13	108646104	114364328	160000	2572315	1297446	108251	2014048
chr14	0	5352185	5352185	0	NA	NA	NA
chr14	5352185	10704370	5352185	0	NA	NA	NA
chr14	10704370	16056555	5296213	24416	3143	27618	11102
chr14	16056555	21408740	314986	2016454	518376	2321608	1399180
chr14	21408740	26760925	0	2215372	1456640	69905	2588326
chr14	26760925	32113110	0	1970968	487748	72242	2738683
chr14	32113110	37465295	0	2117952	741563	63357	2506864
chr14	37465295	42817480	0	1940554	566285	69284	3006407
chr14	42817480	48169665	0	1912780	328359	93504	2921141
chr14	48169665	53521850	0	2112503	940293	74739	2817021
chr14	53521850	58874035	0	2151524	914203	60074	2600231
chr14	58874035	64226220	0	2104877	1281905	59735	2778022
chr14	64226220	69578405	0	2249902	1205576	60647	2687737
chr14	69578405	74930590	0	2319115	1918308	59112	2747771
chr14	74930590	80282775	0	2292651	1327007	72750	2413365
chr14	80282775	85634960	0	1975535	365140	83369	2512005
chr14	85634960	90987145	0	2153493	765297	72560	2652790
chr14	90987145	96339330	0	2422349	1571708	82816	2707775
chr14	96339330	101691515	0	2428462	720949	100079	2260778
chr14	101691515	107043718	160000	2573884	1451615	101748	2317811
chr15	0	5099559	5099559	0	NA	NA	NA
chr15	5099559	10199118	5099559	0	NA	NA	NA
chr15	10199118	15298677	5099559	0	NA	NA	NA
chr15	15298677	20398236	1752142	1295156	4203	2803196	304601
chr15	20398236	25497795	239042	2008578	641685	82890	2602499
chr15	25497795	30597354	3	2182199	815285	75444	2530695
chr15	30597354	35696913	0	2114152	1025865	63676	2410082
chr15	35696913	40796472	0	2024738	889079	68390	2258666
chr15	40796472	45896031	0	2236273	2539228	58906	2637289
chr15	45896031	50995590	0	1960159	1175676	64445	2605020
chr15	50995590	56095149	0	2021228	1126035	55541	2635970
chr15	56095149	61194708	0	2067633	1260501	63209	2411333
chr15	61194708	66294267	0	2212627	1610185	60068	2390713
chr15	66294267	71393826	0	2261515	924981	64784	2517775
chr15	71393826	76493385	0	2304475	1819578	56661	2544937
chr15	76493385	81592944	0	2250762	1067808	69184	2551815
chr15	81592944	86692503	50000	2150973	908969	64279	2485493
chr15	86692503	91792062	0	2238147	1456138	72217	2590138
chr15	91792062	96891621	0	2080619	383715	79474	2166626
chr15	96891621	101991189	10000	2169610	1276019	66638	2362714
chr16	0	4516917	10000	2449036	2975405	66724	1687959
chr16	4516917	9033834	0	1993039	759501	104927	2085767
chr16	9033834	13550751	0	2045513	1008127	94717	2431418
chr16	13550751	18067668	0	2016858	841725	88801	2491181
chr16	18067668	22584585	50000	1976817	1164039	75388	2477211
chr16	22584585	27101502	0	1956481	570497	87451	2602696
chr16	27101502	31618419	0	2221855	1867303	75777	2487842
chr16	31618419	36135336	204697	1758880	293883	665306	1758102
chr16	36135336	40652253	2429275	818901	NA	1985124	22127
chr16	40652253	45169170	4516917	0	NA	NA	NA
chr16	45169170	49686087	1211512	1410268	532058	46673	1753509
chr16	49686087	54203004	0	1913028	991745	71145	2127133
chr16	54203004	58719921	0	2061348	1449974	75998	2194857
chr16	58719921	63236838	0	1670424	87307	79661	2209347
chr16	63236838	67753755	0	1903993	975736	82636	2030674
chr16	67753755	72270672	0	2058984	1844486	45753	2320622
chr16	72270672	76787589	0	1879218	679329	58223	2251122
chr16	76787589	81304506	0	1903293	335974	87818	1956583
chr16	81304506	85821423	0	2129905	817207	83622	2013142
chr16	85821423	90338345	110001	2304877	1600873	108735	1604632
chr17	0	4162872	101516	2000022	1447372	55474	2016859
chr17	4162872	8325744	0	2013878	2207407	65630	2092687
chr17	8325744	12488616	0	1825393	772115	62131	2100128
chr17	12488616	16651488	0	1741359	889715	57485	2128677
chr17	16651488	20814360	0	1982949	1392870	46407	2051177
chr17	20814360	24977232	119268	1711652	260266	3165307	750658
chr17	24977232	29140104	54580	1790949	718893	3651804	1053616
chr17	29140104	33302976	0	1811468	1048539	51035	2242079
chr17	33302976	37465848	0	1861052	976071	56912	1987154
chr17	37465848	41628720	0	1940394	1971098	64383	1910552
chr17	41628720	45791592	0	2050369	2413583	57720	2043424
chr17	45791592	49954464	0	1896533	1552217	63453	1901972
chr17	49954464	54117336	0	1710241	931848	59643	2125051
chr17	54117336	58280208	0	1743178	682808	58754	2077265
chr17	58280208	62443080	0	1737414	1190288	49594	2244302
chr17	62443080	66605952	0	1814542	1151153	55404	2038791
chr17	66605952	70768824	0	1716210	1163575	65701	1982375
chr17	70768824	74931696	0	1893655	671161	81434	1765774
chr17	74931696	79094568	0	2111129	2471495	69144	1884497
chr17	79094568	83257441	61873	2223057	2112997	85591	1417589
chr18	0	4018664	10000	1599158	649961	62486	2107885
chr18	4018664	8037328	0	1598628	470261	44250	1977999
chr18	8037328	12055992	0	1699496	761942	50027	1881189
chr18	12055992	16074656	53067	1652883	912345	880578	1673154
chr18	16074656	20093320	826	1593402	NA	4643174	1819
chr18	20093320	24111984	58814	1632400	626266	1569421	1656144
chr18	24111984	28130648	0	1580216	378539	56909	1837668
chr18	28130648	32149312	0	1464520	236685	59859	2007582
chr18	32149312	36167976	0	1525871	929323	48235	2045870
chr18	36167976	40186640	0	1597395	451818	63068	1734319
chr18	40186640	44205304	0	1463919	48577	64498	1855973
chr18	44205304	48223968	50000	1693748	921817	53799	1756517
chr18	48223968	52242632	0	1724370	669802	46164	2003299
chr18	52242632	56261296	954	1519962	712517	57166	1714382
chr18	56261296	60279960	0	1677955	774562	48504	1828215
chr18	60279960	64298624	0	1572572	496384	58006	1867100
chr18	64298624	68317288	0	1403316	125751	80508	1829709
chr18	68317288	72335952	0	1466290	364350	63956	1882836
chr18	72335952	76354616	0	1606856	363241	63314	1625281
chr18	76354616	80373285	110019	1783149	705661	71378	1393980
chr19	0	2930880	60000	1615138	1492131	80600	1179527
chr19	2930880	5861760	0	1588332	1112636	82684	1494985
chr19	5861760	8792640	0	1475062	1072051	94168	1611302
chr19	8792640	11723520	0	1442472	1938935	58791	1743567
chr19	11723520	14654400	0	1442089	1056670	56721	1705178
chr19	14654400	17585280	0	1446347	994946	80426	1587601
chr19	17585280	20516160	0	1468707	1252226	50488	1571383
chr19	20516160	23447040	0	1203715	685696	274931	1743936
chr19	23447040	26377920	56858	1137846	99478	2991865	496364
chr19	26377920	29308800	50000	1187513	71074	2746865	893019
chr19	29308800	32239680	0	1326017	428723	79854	1196768
chr19	32239680	35170560	0	1369135	662940	53878	1579936
chr19	35170560	38101440	0	1355682	1683896	114558	1702385
chr19	38101440	41032320	0	1452605	1471356	51029	1679965
chr19	41032320	43963200	0	1390791	1351203	97725	1583893
chr19	43963200	46894080	0	1431149	1367907	64716	1708763
chr19	46894080	49824960	0	1499866	1609769	85406	1605062
chr19	49824960	52755840	0	1405509	1325042	76901	1609923
chr19	52755840	55686720	0	1436921	1685955	93319	1509394
chr19	55686720	58617616	10000	1340816	1486331	38798	1599162
chr2	0	12109676	10000	5277903	1737746	219879	5017804
chr2	12109676	24219352	1001	4877764	1128244	176908	5805434
chr2	24219352	36329028	2004	5068388	2658249	151485	6235102
chr2	36329028	48438704	0	4999404	2220696	147559	5838719
chr2	48438704	60548380	0	4571745	1765857	159964	5699904
chr2	60548380	72658056	0	4992623	2003428	174719	6121100
chr2	72658056	84767732	0	4628851	1397306	180695	6165191
chr2	84767732	96877408	1571900	4471158	1885799	2367871	4005606
chr2	96877408	108987084	50000	4960720	3232673	157796	5887459
chr2	108987084	121096760	1	5075559	2083978	171265	5994014
chr2	121096760	133206436	0	5030036	1880945	245639	6292878
chr2	133206436	145316112	0	4575339	1137456	170305	5427791
chr2	145316112	157425788	0	4522598	2231635	160214	5861762
chr2	157425788	169535464	0	4556617	2328085	169013	5514743
chr2	169535464	181645140	0	4749778	3207141	145757	5626254
chr2	181645140	193754816	0	4391358	1291735	163200	6038109
chr2	193754816	205864492	0	4701286	2800374	156357	5904523
chr2	205864492	217974168	0	4694895	3128174	161168	5625707
chr2	217974168	230083844	0	4933970	2642749	179216	5598532
chr2	230083844	242193529	10395	5689091	3744605	217846	5216471
chr20	0	3222208	60725	1442036	851234	49725	1825754
chr20	3222208	6444416	0	1415294	977791	38779	1762001
chr20	6444416	9666624	0	1232757	262925	45278	1438034
chr20	9666624	12888832	0	1258627	216512	44118	1563340
chr20	12888832	16111040	0	1242676	237634	43841	1490123
chr20	16111040	19333248	0	1366797	523288	36487	1673897
chr20	19333248	22555456	0	1348795	465062	45648	1448589
chr20	22555456	25777664	0	1452497	696718	47604	1555159
chr20	25777664	28999872	90575	1227025	22741	2574297	316995
chr20	28999872	32222080	238262	1255473	355617	777048	1285901
chr20	32222080	35444288	0	1504407	948024	44290	1807804
chr20	35444288	38666496	348	1512100	1085760	47679	1735578
chr20	38666496	41888704	0	1376953	492281	46402	1559493
chr20	41888704	45110912	0	1434456	514806	45632	1716655
chr20	45110912	48333120	0	1483150	1145461	57357	1762326
chr20	48333120	51555328	0	1531919	729402	68078	1735308
chr20	51555328	54777536	0	1354186	262050	57640	1651636
chr20	54777536	57999744	0	1406780	294207	53612	1617307
chr20	57999744	61221952	0	1447310	699582	60551	1361346
chr20	61221952	64444167	110000	1717367	1460398	84246	823498
chr21	0	2335499	2335499	0	NA	NA	NA
chr21	2335499	4670998	2335499	0	NA	NA	NA
chr21	4670998	7006497	889002	648702	253805	154999	631392
chr21	7006497	9341996	600001	729820	154932	345062	740985
chr21	9341996	11677495	350800	778829	41904	1617305	497476
chr21	11677495	14012994	50400	889396	12672	1836309	508445
chr21	14012994	16348493	0	867338	270654	41741	1048889
chr21	16348493	18683992	0	867175	190141	29885	1194210
chr21	18683992	21019491	0	822404	11697	43919	1151173
chr21	21019491	23354990	0	809656	86625	45584	1142404
chr21	23354990	25690489	0	839298	55946	41427	1128161
chr21	25690489	28025988	0	880857	254203	33249	1091910
chr21	28025988	30361487	0	890511	197183	36281	1080532
chr21	30361487	32696986	30	979741	339787	42324	1105190
chr21	32696986	35032485	0	1016543	668592	33233	1036531
chr21	35032485	37367984	0	1009754	530783	33519	1093246
chr21	37367984	39703483	10	995639	641001	39385	1038114
chr21	39703483	42038982	103	1029888	489845	49423	1009580
chr21	42038982	44374481	50020	1172446	909833	58130	913144
chr21	44374481	46709983	10000	1183628	1041644	54193	937997
chr22	0	2540923	2540923	0	NA	NA	NA
chr22	2540923	5081846	2540923	0	NA	NA	NA
chr22	5081846	7622769	2540923	0	NA	NA	NA
chr22	7622769	10163692	2540923	0	NA	NA	NA
chr22	10163692	12704615	996308	621017	29597	288999	731285
chr22	12704615	15245538	261733	877265	520	2143447	80489
chr22	15245538	17786461	25458	1062495	404280	328188	1146477
chr22	17786461	20327384	200000	1182910	993113	55332	924495
chr22	20327384	22868307	0	1221894	662374	57154	1135399
chr22	22868307	25409230	0	1251010	773936	40404	1216540
chr22	25409230	27950153	0	1160495	611735	65835	1210695
chr22	27950153	30491076	0	1145843	951924	30778	1270535
chr22	30491076	33031999	0	1181099	1153893	44674	1323612
chr22	33031999	35572922	0	1111352	151606	41157	1425473
chr22	35572922	38113845	0	1265404	1034030	56250	1219693
chr22	38113845	40654768	0	1227409	982414	40878	1279631
chr22	40654768	43195691	0	1254409	815101	26383	1359897
chr22	43195691	45736614	0	1264612	491367	56022	1214169
chr22	45736614	48277537	0	1252559	392190	53280	1052270
chr22	48277537	50818468	11500	1327065	1006853	77730	900107
chr3	0	9914777	10000	3914350	1755087	154346	4846273
chr3	9914777	19829554	4	4283184	2434321	118985	4969637
chr3	19829554	29744331	0	3772187	1099120	112197	5068245
chr3	29744331	39659108	0	4002305	2661620	121730	5144665
chr3	39659108	49573885	0	4356917	3824679	105600	5228971
chr3	49573885	59488662	0	4378907	4093917	118072	4705428
chr3	59488662	69403439	4	3947776	1327630	119914	4552441
chr3	69403439	79318216	0	3848036	918776	166570	4314922
chr3	79318216	89232993	0	3479676	346015	187687	4669193
chr3	89232993	99147770	125416	3589282	674087	3195286	3529296
chr3	99147770	109062547	0	3683199	1578769	121264	5035385
chr3	109062547	118977324	0	3753483	1681082	131185	4830338
chr3	118977324	128892101	0	4300905	2531248	152843	5091005
chr3	128892101	138806878	0	4122591	2590844	112262	5310603
chr3	138806878	148721655	0	3825110	1406663	136075	5031384
chr3	148721655	158636432	0	3810433	1587179	122195	4977260
chr3	158636432	168551209	0	3611899	750060	148945	5200310
chr3	168551209	178465986	0	3749880	1645431	133918	4621097
chr3	178465986	188380763	0	4077051	2094770	133279	5038747
chr3	188380763	198295559	60000	4070571	1954161	145751	4788526
chr4	0	9510727	89606	4671848	2845439	243556	4221488
chr4	9510727	19021454	0	3800464	1110276	160179	4904563
chr4	19021454	28532181	0	3678747	792080	147357	4705470
chr4	28532181	38042908	19294	3379410	618350	166011	4600315
chr4	38042908	47553635	0	3676460	1853250	127812	4997402
chr4	47553635	57064362	250400	3682508	1192540	2298392	3843881
chr4	57064362	66575089	42588	3340081	404751	170784	4848789
chr4	66575089	76085816	0	3551594	1187540	122748	5160533
chr4	76085816	85596543	0	3692421	1431895	111245	4816147
chr4	85596543	95107270	0	3516376	1574946	124338	4705422
chr4	95107270	104617997	0	3511952	709943	116888	5093346
chr4	104617997	114128724	0	3586542	1993889	117803	4588467
chr4	114128724	123639451	0	3481297	1178782	122441	4811933
chr4	123639451	133150178	0	3440568	710886	159266	4949838
chr4	133150178	142660905	0	3500343	549518	138992	4772445
chr4	142660905	152171632	0	3657006	1125997	115064	4767852
chr4	152171632	161682359	0	3570633	1301121	130886	4657808
chr4	161682359	171193086	0	3513108	827486	151028	4812775
chr4	171193086	180703813	0	3460301	645216	144106	4578210
chr4	180703813	190214555	60000	3856342	1519294	155239	4150555
chr5	0	9076912	10000	4023701	1088210	194404	3385659
chr5	9076912	18153824	50000	3628422	807493	123211	4140444
chr5	18153824	27230736	0	3196525	209251	189857	4534045
chr5	27230736	36307648	0	3460659	1133904	133185	4698860
chr5	36307648	45384560	0	3501411	1377579	107049	4779558
chr5	45384560	54461472	150881	3368727	294081	4132773	2363091
chr5	54461472	63538384	0	3559483	1025094	101653	4465865
chr5	63538384	72615296	0	3545503	1641948	108171	4631557
chr5	72615296	81692208	0	3658830	1660329	99053	4541658
chr5	81692208	90769120	0	3300948	870873	136264	4336247
chr5	90769120	99846032	0	3370505	1460935	155839	4342517
chr5	99846032	108922944	0	3250577	556020	132066	4478245
chr5	108922944	117999856	0	3467147	1062246	90935	4705448
chr5	117999856	127076768	0	3427574	940096	114948	4604669
chr5	127076768	136153680	0	3728595	1453414	139742	4602238
chr5	136153680	145230592	1000	3845525	1847650	105072	4427180
chr5	145230592	154307504	0	3753198	1965578	126336	4759628
chr5	154307504	163384416	1000	3639378	1030270	117619	4737262
chr5	163384416	172461328	0	3672741	795637	135894	4173537
chr5	172461328	181538259	60000	4211825	2155081	149914	4776723
chr6	0	8540298	60000	3653039	1288532	116001	3885851
chr6	8540298	17080596	0	3516467	998996	124811	3927725
chr6	17080596	25620894	0	3385293	965798	110484	4187191
chr6	25620894	34161192	0	3763554	3176638	116112	4328911
chr6	34161192	42701490	0	3842729	2209276	102461	4244678
chr6	42701490	51241788	0	3436500	1976385	125835	4056500
chr6	51241788	59782086	100100	3242639	1901154	1418530	3362708
chr6	59782086	68322384	407356	2895805	258599	829612	4181492
chr6	68322384	76862682	0	3193054	1391372	105074	4303553
chr6	76862682	85402980	0	3179398	1025860	95506	4676704
chr6	85402980	93943278	0	3261731	1392843	101953	4397971
chr6	93943278	102483576	50000	3066989	798187	117893	4027771
chr6	102483576	111023874	0	3375982	1329495	117059	4372490
chr6	111023874	119564172	1	3246827	1148795	99777	4196377
chr6	119564172	128104470	0	3127082	1017694	109396	4235508
chr6	128104470	136644768	0	3265175	1351200	110973	3862211
chr6	136644768	145185066	0	3291767	1071126	106930	4308224
chr6	145185066	153725364	0	3392850	2313260	108951	4095680
chr6	153725364	162265662	0	3575550	1359618	117889	3897909
chr6	162265662	170805979	110000	3647589	1279868	144656	3480174
chr7	0	7967298	12396	3889140	1791993	190957	3737411
chr7	7967298	15934596	0	2867922	628542	113437	3772748
chr7	15934596	23901894	0	3039197	1157714	97047	3832070
chr7	23901894	31869192	0	3300937	1434408	101036	3589428
chr7	31869192	39836490	0	3203037	827408	108986	3800878
chr7	39836490	47803788	0	3367169	1315564	114084	3909903
chr7	47803788	55771086	0	3150094	1363315	116778	4027294
chr7	55771086	63738384	303442	3072501	207262	4264590	1798009
chr7	63738384	71705682	0	3424580	683004	247400	4413430
chr7	71705682	79672980	0	3511658	1312093	135100	4328470
chr7	79672980	87640278	0	2836740	684300	119719	3558405
chr7	87640278	95607576	0	2967015	1886577	100556	3981531
chr7	95607576	103574874	0	3581019	2210219	151522	4128404
chr7	103574874	111542172	0	3078256	1363002	97275	4032114
chr7	111542172	119509470	0	2931074	722792	104113	3728069
chr7	119509470	127476768	0	2896370	736247	117039	3890681
chr7	127476768	135444066	0	3404322	1490808	104287	3705289
chr7	135444066	143411364	0	3304933	1361695	113566	4038311
chr7	143411364	151378662	50000	3234828	1348674	116450	3861308
chr7	151378662	159345973	10004	3636051	1522674	151843	3349521
chr8	0	7256931	60000	3029962	779481	140493	2715028
chr8	7256931	14513862	100000	3048280	1065047	135118	3311956
chr8	14513862	21770793	0	2887126	1426225	105332	3494323
chr8	21770793	29027724	0	3129944	1634562	103095	3525855
chr8	29027724	36284655	0	2872308	911335	114131	3648139
chr8	36284655	43541586	0	3057287	1707977	117378	3897192
chr8	43541586	50798517	100500	2859927	367391	2884020	2480253
chr8	50798517	58055448	0	2874068	950041	89537	3864880
chr8	58055448	65312379	0	2770302	717642	93242	3572317
chr8	65312379	72569310	0	2834347	1049923	87268	3747731
chr8	72569310	79826241	0	2680880	543146	103185	3583919
chr8	79826241	87083172	50000	2699965	646103	112037	3649463
chr8	87083172	94340103	0	2703636	690311	92754	3716671
chr8	94340103	101597034	0	2943531	1242097	83512	3740278
chr8	101597034	108853965	0	2778712	976128	124260	3505451
chr8	108853965	116110896	0	2546417	495152	113656	3563213
chr8	116110896	123367827	0	2854043	622980	95481	3563539
chr8	123367827	130624758	0	2993535	827155	103529	3793458
chr8	130624758	137881689	0	2959829	841610	116315	3646303
chr8	137881689	145138636	60000	3609861	2952869	147386	3011844
chr9	0	6919735	10000	2773056	1489071	81834	3525074
chr9	6919735	13839470	0	2520797	820568	102395	3194833
chr9	13839470	20759205	0	2718697	1444395	85961	3233955
chr9	20759205	27678940	0	2568340	488478	83311	3536739
chr9	27678940	34598675	0	2651950	776095	97642	3562351
chr9	34598675	41518410	4256	2922066	1727538	268592	3421655
chr9	41518410	48438145	2947051	1528050	63638	2272349	877340
chr9	48438145	55357880	6919735	0	NA	NA	NA
chr9	55357880	62277615	5560678	553561	83789	214953	615986
chr9	62277615	69197350	1100000	2324515	489575	412477	2716635
chr9	69197350	76117085	0	2670721	1229841	93883	3450539
chr9	76117085	83036820	0	2718662	1228865	87944	3406733
chr9	83036820	89956555	3	2918218	1551022	115038	3452499
chr9	89956555	96876290	0	3013543	1611252	113541	3591413
chr9	96876290	103796025	0	2758476	672745	89456	3712106
chr9	103796025	110715760	0	2798369	1334833	117161	3446884
chr9	110715760	117635495	0	2901197	1596825	107695	3523204
chr9	117635495	124555230	0	2929823	1325831	97911	3467911
chr9	124555230	131474965	0	3356007	2790116	108863	3406239
chr9	131474965	138394717	62444	3644425	3188619	150700	2524445
chrX	0	7802044	332304	3177875	504578	428341	3373984
chrX	7802044	15604088	0	3138736	803921	117556	3480320
chrX	15604088	23406132	0	3152146	1102324	89012	4079852
chrX	23406132	31208176	0	2973875	655658	119348	4121305
chrX	31208176	39010220	186575	2824915	382889	96805	3962769
chrX	39010220	46812264	0	3222338	765366	85974	4693657
chrX	46812264	54614308	230000	3263922	2164916	97862	4692347
chrX	54614308	62416352	55010	3105710	458622	4282717	2720159
chrX	62416352	70218396	46190	3105191	766855	393404	5318133
chrX	70218396	78020440	0	3164242	1180209	70712	5628452
chrX	78020440	85822484	0	2861694	432069	69413	5846920
chrX	85822484	93624528	0	2810295	253603	84868	5313447
chrX	93624528	101426572	0	2908817	497014	84607	4850605
chrX	101426572	109228616	0	3069462	1169645	91880	4652353
chrX	109228616	117030660	187787	2933958	937699	89000	4573149
chrX	117030660	124832704	50000	3063937	977313	91973	4685953
chrX	124832704	132634748	0	2984073	795024	93802	4752881
chrX	132634748	140436792	0	3143920	833792	100981	4273118
chrX	140436792	148238836	50000	2920658	205590	106880	4962362
chrX	148238836	156040895	10000	3395757	1772789	116294	4244208
chrY	0	2861370	332304	1208424	228203	220933	1193081
chrY	2861370	5722740	0	1033007	106204	33233	1894394
chrY	5722740	8584110	0	1136980	60646	326283	1499000
chrY	8584110	11445480	298740	1074192	46448	645521	791126
chrY	11445480	14306850	52620	1111319	784833	159198	1658895
chrY	14306850	17168220	0	1099465	122937	83989	1592620
chrY	17168220	20029590	0	1110250	275150	146176	1801888
chrY	20029590	22890960	68708	1110574	155910	130446	1661687
chrY	22890960	25752330	0	1132630	50793	365711	1365209
chrY	25752330	28613700	1940486	356039	5219	55232	469415
chrY	28613700	31475070	2861370	0	NA	NA	NA
chrY	31475070	34336440	2861370	0	NA	NA	NA
chrY	34336440	37197810	2861370	0	NA	NA	NA
chrY	37197810	40059180	2861370	0	NA	NA	NA
chrY	40059180	42920550	2861370	0	NA	NA	NA
chrY	42920550	45781920	2861370	0	NA	NA	NA
chrY	45781920	48643290	2861370	0	NA	NA	NA
chrY	48643290	51504660	2861370	0	NA	NA	NA
chrY	51504660	54366030	2861370	0	NA	NA	NA
chrY	54366030	57227415	2367184	199803	101210	93044	254063
